et celui la ? 
:
# PHASE 1 : Algorithmes et Structures de Données (Weeks 19-34, 1120h, 16000 XP)

---

## Vue d'ensemble Phase 1

| Module | Semaines | Heures | XP | Contenu Principal |
|--------|----------|--------|-----|-------------------|
| 1.1 | 19-20 | 140h | 2000 | Arrays, Sorting & Searching |
| 1.2 | 21-22 | 140h | 2000 | Hash Tables & Strings |
| 1.3 | 23-24 | 140h | 2000 | Trees & Advanced Tree Structures |
| 1.4 | 25-26 | 140h | 2000 | Graphs |
| 1.5 | 27-28 | 140h | 2000 | Dynamic Programming |
| 1.6 | 29-30 | 140h | 2000 | Number Theory & Mathematics |
| 1.7 | 31-32 | 140h | 2000 | Advanced Algorithms & Techniques |
| 1.8 | 33-34 | 140h | 2000 | Testing, Quality & Competition Prep |
| **TOTAL** | **16 sem** | **1120h** | **16000** | **Algorithmes & DS Complets** |

---

## Module 1.1 : Arrays, Sorting & Searching (Weeks 19-20, 140h, 2000 XP)

### Sous-module 1.1.1 : Révision Architecture Mémoire
| # | Sous-sous-module | Contenu |
| n | Complexité typique | O(n) avec O(1) espace |

### Sous-module 1.1.12 : Sliding Window Technique
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Concept | Fenêtre qui glisse sur array |
| b | Fixed size window | Taille constante |
| c | Variable size window | Taille qui change |
| d | Window expansion | Quand agrandir |
| e | Window contraction | Quand rétrécir |
| f | Template fixed | Somme/max de k éléments |
| g | Template variable | Plus petit/grand satisfaisant condition |
| h | Maximum sum subarray size k | Fixed window |
| i | Longest substring without repeat | Variable window |
| j | Minimum window substring | Variable window |
| k | Maximum of all subarrays size k | Avec deque |
| l | Count subarrays with sum | Prefix sum + hashmap |
| m | Anagram search | Fixed window avec fréquences |
| n | Complexité typique | O(n) temps, O(1) ou O(k) espace |

### Sous-module 1.1.13 : Prefix Sums & Difference Arrays
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Prefix sum 1D | prefix[i] = Σ arr[0..i-1] |
| b | Range sum query | sum(l,r) = prefix[r+1] - prefix[l] |
| c | Construction | O(n) |
| d | Query | O(1) |
| e | Prefix sum 2D | Pour matrices |
| f | 2D construction | prefix[i][j] = ... |
| g | 2D range query | Inclusion-exclusion |
| h | Difference array | Pour range updates |
| i | Difference construction | diff[i] = arr[i] - arr[i-1] |
| j | Range add | diff[l] += val, diff[r+1] -= val |
| k | Reconstruct | Prefix sum of difference |
| l | Applications | Range queries, image processing |

### Sous-module 1.1.14 : Coordinate Compression
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Problème | Valeurs dans grand range, peu de valeurs distinctes |
| b | Technique | Mapper vers 0..n-1 |
| c | Algorithme | Sort + unique + binary search |
| d | Implémentation | Avec tableau trié |
| e | Implémentation | Avec hashmap |
| f | Applications | Segment trees sur grands ranges |
| g | Applications | Counting inversions |
| h | Applications | Sweep line algorithms |
| i | Complexité | O(n log n) prétraitement, O(log n) query |

### Sous-module 1.1.15 : Tris par Comparaison - Quadratiques
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Bubble Sort algorithme | Échanges adjacents |
| b | Bubble Sort analyse | O(n²) pire/moyen, O(n) meilleur |
| c | Bubble Sort optimisation | Flag swapped |
| d | Selection Sort algorithme | Trouver min, placer |
| e | Selection Sort analyse | O(n²) toujours |
| f | Selection Sort swaps | Exactement n-1 |
| g | Insertion Sort algorithme | Insérer dans partie triée |
| h | Insertion Sort analyse | O(n²) pire, O(n) meilleur |
| i | Insertion Sort avantages | Stable, adaptive, online |
| j | Shell Sort | Gap sequence, amélioration insertion |
| k | Comparaison | Tableau récapitulatif |

### Sous-module 1.1.16 : Merge Sort
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Divide | Couper en deux moitiés |
| b | Conquer | Trier récursivement |
| c | Merge | Fusionner deux tableaux triés |
| d | Implémentation merge | Deux pointeurs, tableau auxiliaire |
| e | Récurrence | T(n) = 2T(n/2) + O(n) |
| f | Complexité temps | O(n log n) toujours |
| g | Complexité espace | O(n) auxiliaire |
| h | Stabilité | Oui |
| i | Bottom-up | Version itérative |
| j | Natural merge sort | Exploiter runs existants |
| k | In-place merge sort | Possible mais complexe |
| l | Merge sort on linked list | O(1) espace extra |
| m | Counting inversions | Avec merge sort |

### Sous-module 1.1.17 : Quick Sort
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Partition concept | < pivot, pivot, > pivot |
| b | Lomuto partition | Simple, un pointeur |
| c | Hoare partition | Efficace, deux pointeurs |
| d | Choix pivot premier/dernier | Problème si trié |
| e | Median-of-three | Meilleur pivot |
| f | Random pivot | Analyse probabiliste |
| g | Complexité moyenne | O(n log n) |
| h | Complexité pire | O(n²), quand |
| i | Espace | O(log n) stack |
| j | Stabilité | Non |
| k | Tail recursion | Optimisation |
| l | Insertion pour petits | Cutoff ~10-20 |
| m | 3-way partition | Pour duplicates (Dutch flag) |
| n | Dual pivot | Java's Arrays.sort |
| o | Intro sort | Quick + heap fallback |
| p | PDQ sort | Pattern-defeating quicksort |

### Sous-module 1.1.18 : Heap Sort
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Max-heap propriété | Parent ≥ enfants |
| b | Représentation tableau | parent(i), left(i), right(i) |
| c | heapify (sift-down) | Restaurer propriété O(log n) |
| d | build_heap | Bottom-up |
| e | Preuve O(n) build | Somme des hauteurs |
| f | Algorithme sort | Build + extract répété |
| g | Complexité | O(n log n) toujours |
| h | Espace | O(1) in-place |
| i | Stabilité | Non |
| j | Cache behavior | Mauvais (accès non-locaux) |
| k | Comparaison | vs Quick Sort, Merge Sort |

### Sous-module 1.1.19 : Lower Bound Ω(n log n)
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Modèle | Comparison-based sorting |
| b | Arbre de décision | Représentation des comparaisons |
| c | Feuilles | n! permutations possibles |
| d | Hauteur minimale | log₂(n!) |
| e | Stirling | n! ≈ (n/e)^n × √(2πn) |
| f | log₂(n!) | = Ω(n log n) |
| g | Conclusion | Aucun tri par comparaison < Ω(n log n) |
| h | Implications | Comment battre cette borne |

### Sous-module 1.1.20 : Tris Non-Comparatifs
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Quand applicables | Contraintes sur les données |
| b | Counting Sort principe | Valeurs comme indices |
| c | Counting Sort algorithme | Compter, préfixer, placer |
| d | Counting Sort complexité | O(n + k) |
| e | Counting Sort stabilité | Oui |
| f | Counting Sort espace | O(k) |
| g | Radix Sort LSD | Digit par digit, least significant first |
| h | Radix Sort MSD | Most significant first |
| i | Radix Sort complexité | O(d(n + k)) |
| j | Radix Sort stabilité | Oui (avec counting stable) |
| k | Bucket Sort principe | Distribuer dans buckets |
| l | Bucket Sort algorithme | Distribute, sort buckets, concatenate |
| m | Bucket Sort complexité | O(n) moyen si uniforme |
| n | Bucket Sort pire cas | O(n²) si tous dans un bucket |
| o | Quand utiliser | Conditions d'applicabilité |

### Sous-module 1.1.21 : External Sorting
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Problème | Données > RAM |
| b | Runs | Trier chunks en mémoire |
| c | 2-way merge | Fusionner deux fichiers |
| d | k-way merge | Fusionner k fichiers triés |
| e | Min-heap | Pour sélection efficace O(log k) |
| f | I/O complexity | Minimiser accès disque |
| g | Replacement selection | Créer runs plus longs |
| h | Polyphase merge | Optimiser avec tapes |
| i | Buffer management | Double buffering |

### Sous-module 1.1.22 : Binary Search - Fondamentaux
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Prérequis | Tableau trié |
| b | Algorithme | low, high, mid |
| c | Version itérative | while(low <= high) |
| d | Version récursive | Appel récursif |
| e | Calcul mid | low + (high-low)/2 évite overflow |
| f | Complexité | O(log n) |
| g | Terminaison | Preuve |
| h | Off-by-one | Erreurs courantes, debugging |
| i | Template 1 | low <= high |
| j | Template 2 | low < high |
| k | Template 3 | low + 1 < high |

### Sous-module 1.1.23 : Binary Search - Variantes
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Lower bound | Premier ≥ target |
| b | Upper bound | Premier > target |
| c | First occurrence | Leftmost equal |
| d | Last occurrence | Rightmost equal |
| e | Count occurrences | upper - lower |
| f | Search insert position | Où insérer |
| g | Floor | Plus grand ≤ target |
| h | Ceil | Plus petit ≥ target |
| i | Peak element | Plus grand que voisins |
| j | Search in rotated array | Identifier partie triée |
| k | Search in rotated with duplicates | O(n) pire cas |
| l | Find rotation point | Minimum element |
| m | Square root | Binary search on answer |
| n | Kth smallest in sorted matrix | Binary search on value |

### Sous-module 1.1.24 : Binary Search on Answer
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Concept | Chercher dans l'espace des réponses |
| b | Condition | Monotonie de la fonction de faisabilité |
| c | Template minimize | Plus petit x tel que f(x) = true |
| d | Template maximize | Plus grand x tel que f(x) = true |
| e | Exemples | Capacity to ship packages |
| f | Exemples | Minimum days to make bouquets |
| g | Exemples | Split array largest sum |
| h | Floating point | Précision epsilon |
| i | Complexité | O(log(range) × check) |

### Sous-module 1.1.25 : Ternary Search
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Problème | Trouver max/min de fonction unimodale |
| b | Unimodale | Un seul pic/vallée |
| c | Algorithme | Diviser en trois, éliminer un tiers |
| d | Convergence | 2/3 à chaque étape |
| e | Complexité | O(log₁.₅ n) ≈ O(log n) |
| f | Floating point | Avec précision epsilon |
| g | Applications | Optimisation continue |
| h | Alternative | Golden section search |

### Sous-module 1.1.26 : Autres Recherches
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Interpolation search | Pour distribution uniforme |
| b | Interpolation formule | pos = low + ((target-arr[low])×(high-low))/(arr[high]-arr[low]) |
| c | Interpolation complexité | O(log log n) moyen, O(n) pire |
| d | Exponential search | Pour tableaux non bornés |
| e | Exponential algorithme | Doubler jusqu'à > target, puis binary |
| f | Exponential complexité | O(log n) |
| g | Jump search | Sauts de √n |
| h | Jump complexité | O(√n) |
| i | Fibonacci search | Alternative à binary |

### Benchmark Tous les Algorithmes (4h)
| # | Benchmark | Contenu |
|---|-----------|---------|
| a | Setup | clock_gettime, statistiques |
| b | Données aléatoires | Distribution uniforme |
| c | Données triées | Meilleur cas insertion |
| d | Données inversées | Pire cas |
| e | Données avec duplicates | Pour 3-way partition |
| f | Tailles | 100, 1K, 10K, 100K, 1M, 10M |
| g | Graphiques | Python + Matplotlib |
| h | Analyse | Comparer théorie vs pratique |
| i | Cache effects | Mesurer cache misses |

### LeetCode Arrays & Sorting (Vendredi 10h)
| # | Problème | Difficulté | Thème |
|---|----------|------------|-------|
| a | LC 1 Two Sum | Easy | Hash/Two pointers |
| b | LC 15 3Sum | Medium | Two pointers |
| c | LC 16 3Sum Closest | Medium | Two pointers |
| d | LC 11 Container Water | Medium | Two pointers |
| e | LC 42 Trapping Rain Water | Hard | Two pointers/Stack |
| f | LC 26 Remove Duplicates | Easy | Two pointers |
| g | LC 27 Remove Element | Easy | Two pointers |
| h | LC 283 Move Zeroes | Easy | Two pointers |
| i | LC 75 Sort Colors | Medium | Dutch flag |
| j | LC 33 Search Rotated | Medium | Binary search |
| k | LC 34 Find First Last | Medium | Binary search |
| l | LC 153 Find Min Rotated | Medium | Binary search |
| m | LC 704 Binary Search | Easy | Binary search |
| n | LC 209 Min Size Subarray Sum | Medium | Sliding window |
| o | LC 3 Longest Substring | Medium | Sliding window |
| p | LC 76 Min Window Substring | Hard | Sliding window |
| q | LC 239 Sliding Window Max | Hard | Monotonic deque |
| r | LC 215 Kth Largest | Medium | QuickSelect |
| s | LC 347 Top K Frequent | Medium | Heap/Bucket |
| t | LC 56 Merge Intervals | Medium | Sorting |

### PROJET 1.1 : Complete Sorting & Searching Library (Samedi-Dimanche 32h)
| # | Feature | Contenu |
|---|---------|---------|
| a | Generic Vector | void* avec taille élément |
| b | Toutes opérations | push, pop, insert, remove, get, set |
| c | Resize intelligent | Doubler, shrink |
| d | 8+ algorithmes tri | Bubble, Selection, Insertion, Shell, Merge, Quick, Heap, Radix |
| e | 3-way quicksort | Pour duplicates |
| f | Counting sort | Pour petits ranges |
| g | Binary search variants | Lower/upper bound, first/last |
| h | Ternary search | Pour fonctions unimodales |
| i | Two pointers | Template générique |
| j | Sliding window | Template fixed et variable |
| k | Prefix sums | 1D et 2D |
| l | Benchmarks complets | Comparaison empirique |
| m | Tests unitaires | Coverage > 90% |
| n | Valgrind clean | Zero leaks |
| o | Documentation | Doxygen |
| p | Bonus parallel sort | OpenMP |
| q | Bonus external sort | Pour fichiers |

---

## Module 1.2 : Hash Tables & Strings (Weeks 21-22, 140h, 2000 XP)

### Sous-module 1.2.1 : Principes du Hashing
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Concept | Clé → index via fonction |
| b | Déterminisme | Même clé → même hash |
| c | Uniformité | Distribution équilibrée |
| d | Efficacité | Calcul rapide |
| e | Avalanche effect | Petit changement → hash très différent |
| f | Collision | Inévitable (pigeonhole principle) |
| g | Birthday paradox | Probabilité de collision |
| h | Applications | Dictionnaires, caches, dedup |

### Sous-module 1.2.2 : Fonctions de Hashing
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Division method | h(k) = k mod m |
| b | Choix de m | Nombre premier, pas puissance de 2 |
| c | Multiplication method | h(k) = ⌊m(kA mod 1)⌋ |
| d | Knuth's suggestion | A ≈ (√5 - 1)/2 |
| e | djb2 | hash = hash * 33 + c |
| f | FNV-1a | XOR puis multiply |
| g | MurmurHash | Non-cryptographic, rapide |
| h | CityHash | Google, très rapide |
| i | SipHash | Résistant aux attaques |
| j | xxHash | Très rapide |
| k | Polynomial rolling hash | Pour strings |
| l | Implémentation | 5+ hash functions |
| m | Benchmark | Collisions, vitesse, distribution |

### Sous-module 1.2.3 : Universal Hashing
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Définition | Famille H de fonctions |
| b | Propriété | P(h(x) = h(y)) ≤ 1/m pour x ≠ y |
| c | Construction | h(k) = ((ak + b) mod p) mod m |
| d | Preuve | Probabilité collision |
| e | 2-universal | Définition |
| f | k-universal | Généralisation |
| g | Applications | Garanties probabilistes |

### Sous-module 1.2.4 : Perfect Hashing
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Définition | Zero collisions pour set statique |
| b | FKS scheme | Fredman-Komlós-Szemerédi |
| c | Two-level hashing | Premier niveau + buckets |
| d | Construction | O(n) expected |
| e | Query | O(1) garanti |
| f | Espace | O(n) |
| g | Minimal perfect | Espace exactement n |
| h | Applications | Compilers, static dictionaries |

### Sous-module 1.2.5 : Collision Resolution - Chaining
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Principe | Liste chaînée par bucket |
| b | Structure | Array de listes |
| c | Insertion | O(1) toujours |
| d | Recherche | O(1 + α) moyen |
| e | Suppression | O(1 + α) moyen |
| f | Load factor α | n/m |
| g | Analyse | Expected chain length |
| h | Worst case | O(n) si tous dans un bucket |
| i | Resize trigger | α > 0.75 typiquement |
| j | Implémentation | Avec linked list |
| k | Variante | Array lists au lieu de linked lists |

### Sous-module 1.2.6 : Collision Resolution - Open Addressing
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Principe | Tout dans le tableau |
| b | Probing | Séquence pour trouver slot |
| c | Linear probing | h(k,i) = (h(k) + i) mod m |
| d | Primary clustering | Problème du linear |
| e | Quadratic probing | h(k,i) = (h(k) + c₁i + c₂i²) mod m |
| f | Secondary clustering | Problème du quadratic |
| g | Double hashing | h(k,i) = (h₁(k) + i·h₂(k)) mod m |
| h | h₂ requirements | Ne jamais être 0, coprime avec m |
| i | Suppression | Tombstones |
| j | Tombstone problem | Dégradation performance |
| k | Rehashing | Nettoyer tombstones |
| l | Load factor max | ~0.7 pour open addressing |

### Sous-module 1.2.7 : Advanced Hashing Schemes
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Cuckoo hashing | Deux tables, deux hash |
| b | Cuckoo insertion | Déplacer si occupé |
| c | Cuckoo cycle | Détection et rehash |
| d | Cuckoo recherche | O(1) worst case garanti |
| e | Cuckoo suppression | O(1) |
| f | Robin Hood hashing | Minimiser variance probe length |
| g | Robin Hood insertion | Voler aux riches |
| h | Robin Hood properties | Bounded probe length |
| i | Hopscotch hashing | Neighborhood garantie |
| j | Linear hashing | Dynamic growth sans rehash complet |
| k | Extendible hashing | Pour bases de données |

### Sous-module 1.2.8 : Hash Table Implementation
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Structure | buckets, size, capacity, hash_func, cmp_func |
| b | Entry structure | key, value, état |
| c | États | EMPTY, OCCUPIED, DELETED |
| d | Constructeur | Allocation initiale |
| e | Destructeur | Libération complète |
| f | insert | Hash, probe, place |
| g | search | Hash, probe until found/empty |
| h | delete | Tombstone ou réorganisation |
| i | update | Search + modify |
| j | Resize grow | Quand α > threshold |
| k | Resize shrink | Quand α < threshold/4 |
| l | Rehashing | Réinsérer tous éléments |
| m | Iterator | Parcourir tous éléments |
| n | Statistics | Collisions, probe length moyen |

### Tests Hash Table + Benchmark (4h)
| # | Test | Contenu |
|---|------|---------|
| a | Tests unitaires | CRUD |
| b | Tests collision | Clés qui collisionnent |
| c | Tests resize | Trigger grow/shrink |
| d | Tests stress | Millions d'opérations |
| e | Benchmark | Chaining vs Open addressing |
| f | Benchmark | Linear vs Quadratic vs Double |
| g | Valgrind | Zero leaks |

### Sous-module 1.2.9 : Probabilistic Data Structures
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Bloom Filter concept | Membership probabiliste |
| b | Bloom Filter structure | Bit array + k hash functions |
| c | Bloom Filter insert | Set k bits |
| d | Bloom Filter query | Check k bits |
| e | False positives | Probabilité |
| f | Optimal k | k = (m/n) ln 2 |
| g | Counting Bloom | Avec compteurs |
| h | Count-Min Sketch | Frequency estimation |
| i | CMS structure | 2D array de compteurs |
| j | CMS update | Increment k positions |
| k | CMS query | Minimum des k compteurs |
| l | HyperLogLog | Cardinality estimation |
| m | HyperLogLog idea | Leading zeros |
| n | Applications | Big data, streaming |

### Sous-module 1.2.10 : String Basics
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Représentation C | char array + '\0' |
| b | String length | O(n) vs O(1) avec stored length |
| c | Immutabilité | Python/Java vs C |
| d | Encodings | ASCII, UTF-8, UTF-16 |
| e | String hashing | Polynomial hash |
| f | Rolling hash | Update O(1) |
| g | Rabin fingerprint | Modular arithmetic |
| h | String comparison | Lexicographic |

### Sous-module 1.2.11 : Naive String Matching
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Problème | Trouver pattern dans texte |
| b | Algorithme | Comparer à chaque position |
| c | Implémentation | Double boucle |
| d | Complexité pire | O(nm) |
| e | Complexité meilleur | O(n) si mismatch rapide |
| f | Quand utiliser | Court pattern, texte court |

### Sous-module 1.2.12 : KMP Algorithm
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Idée | Ne pas recomparer |
| b | Failure function π | Longest proper prefix suffix |
| c | π[i] définition | Max k < i tel que P[0..k-1] = P[i-k..i-1] |
| d | Construction π | O(m) |
| e | Algorithme | Utiliser π pour skip |
| f | Implémentation search | Détail pas à pas |
| g | Complexité | O(n + m) |
| h | Preuve | Amortized analysis |
| i | Exemples | Tracer exécution |
| j | All occurrences | Continuer après match |

### Sous-module 1.2.13 : Z-Algorithm
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Z-array définition | Z[i] = longueur prefix match at i |
| b | Z-box | [l, r] = rightmost match |
| c | Algorithme | Cas 1: i > r, Cas 2: i ≤ r |
| d | Construction | O(n) |
